2016,,,,,
,Date,Two-party-preferred,,Days Since,Net on 2PP (Incumbent - Oppositon)
,,,,,
,,Lib/Nat,ALP,,Net on 2PP (Incumbent - Oppositon) - 2016
,02-Jul-16,0.504,0.496,0,8.0000000000000071E-3
30 Jun – 3 Jul 2016,03-Jul-16,0.5,0.5,1,0
6–10 Jul 2016,10-Jul-16,0.49,0.51,8,-2.0000000000000018E-2
13–17 Jul 2016,17-Jul-16,0.49,0.51,15,-2.0000000000000018E-2
20–24 Jul 2016,24-Jul-16,0.48,0.52,22,-4.0000000000000036E-2
27 Jul – 1 Aug 2016,01-Aug-16,0.48,0.52,30,-4.0000000000000036E-2
5–8 Aug 2016,08-Aug-16,0.48,0.52,37,-4.0000000000000036E-2
12–15 Aug 2016,15-Aug-16,0.48,0.52,44,-4.0000000000000036E-2
19–22 Aug 2016,22-Aug-16,0.49,0.51,51,-2.0000000000000018E-2
25–28 Aug 2016,28-Aug-16,0.5,0.5,57,0
26–29 Aug 2016,29-Aug-16,0.49,0.51,58,-2.0000000000000018E-2
8–11 Sep 2016,11-Sep-16,0.5,0.5,71,0
9–12 Sep 2016,12-Sep-16,0.48,0.52,72,-4.0000000000000036E-2
22–25 Sep 2016,25-Sep-16,0.48,0.52,85,-4.0000000000000036E-2
6–9 Oct 2016,09-Oct-16,0.48,0.52,99,-4.0000000000000036E-2
7–10 Oct 2016,10-Oct-16,0.48,0.52,100,-4.0000000000000036E-2
14–17 Oct 2016,17-Oct-16,0.47,0.53,107,-6.0000000000000053E-2
20–23 Oct 2016,23-Oct-16,0.48,0.52,113,-4.0000000000000036E-2
3–6 Nov 2016,06-Nov-16,0.47,0.53,127,-6.0000000000000053E-2
11–14 Nov 2016,14-Nov-16,0.47,0.53,135,-6.0000000000000053E-2
17–20 Nov 2016,20-Nov-16,0.47,0.53,141,-6.0000000000000053E-2
24–26 Nov 2016,26-Nov-16,0.49,0.51,147,-2.0000000000000018E-2
25–28 Nov 2016,28-Nov-16,0.49,0.51,149,-2.0000000000000018E-2
1–4 Dec 2016,04-Dec-16,0.48,0.52,155,-4.0000000000000036E-2
9–12 Dec 2016,12-Dec-16,0.47,0.53,163,-6.0000000000000053E-2
12-Jan-17,12-Jan-17,0.46,0.54,194,-8.0000000000000016E-2
13–16 Jan 2017,16-Jan-17,0.47,0.53,198,-6.0000000000000053E-2
20–23 Jan 2017,23-Jan-17,0.46,0.54,205,-8.0000000000000016E-2
2–5 Feb 2017,05-Feb-17,0.46,0.54,218,-8.0000000000000016E-2
9–12 Feb 2017,12-Feb-17,0.48,0.52,225,-4.0000000000000036E-2
16–19 Feb 2017,19-Feb-17,0.48,0.52,232,-4.0000000000000036E-2
23–26 Feb 2017,26-Feb-17,0.45,0.55000000000000004,239,-0.10000000000000003
3–6 Mar 2017,06-Mar-17,0.47,0.53,247,-6.0000000000000053E-2
10–13 Mar 2017,13-Mar-17,0.47,0.53,254,-6.0000000000000053E-2
16–19 Mar 2017,19-Mar-17,0.48,0.52,260,-4.0000000000000036E-2
17–20 Mar 2017,20-Mar-17,0.45,0.55000000000000004,261,-0.10000000000000003
22–25 Mar 2017,25-Mar-17,0.45,0.55000000000000004,266,-0.10000000000000003
24–27 Mar 2017,27-Mar-17,0.46,0.54,268,-8.0000000000000016E-2
30 Mar – 2 Apr 2017,02-Apr-17,0.47,0.53,274,-6.0000000000000053E-2
1–4 Apr 2017,04-Apr-17,0.47,0.53,276,-6.0000000000000053E-2
6–9 Apr 2017,09-Apr-17,0.47,0.53,281,-6.0000000000000053E-2
13–16 Apr 2017,16-Apr-17,0.46,0.54,288,-8.0000000000000016E-2
20–23 Apr 2017,23-Apr-17,0.48,0.52,295,-4.0000000000000036E-2
26–30 Apr 2017,30-Apr-17,0.47,0.53,302,-6.0000000000000053E-2
11-May-17,11-May-17,0.47,0.53,313,-6.0000000000000053E-2
10–11 May 2017,11-May-17,0.47,0.53,313,-6.0000000000000053E-2
12–15 May 2017,15-May-17,0.47,0.53,317,-6.0000000000000053E-2
23-May-17,23-May-17,0.46,0.54,325,-8.0000000000000016E-2
26–29 May 2017,29-May-17,0.47,0.53,331,-6.0000000000000053E-2
14-Jun-17,14-Jun-17,0.48,0.52,347,-4.0000000000000036E-2
15–18 Jun 2017,18-Jun-17,0.47,0.53,351,-6.0000000000000053E-2
22–27 Jun 2017,27-Jun-17,0.49,0.51,360,-2.0000000000000018E-2
29-Jun-17,29-Jun-17,0.48,0.52,362,-4.0000000000000036E-2
6–9 Jul 2017,09-Jul-17,0.47,0.53,372,-6.0000000000000053E-2
6–11 Jul 2017,11-Jul-17,0.52,0.48,374,4.0000000000000036E-2
18-Jul-17,18-Jul-17,0.46,0.54,381,-8.0000000000000016E-2
19-Jul-17,19-Jul-17,0.49,0.51,382,-2.0000000000000018E-2
20–23 Jul 2017,23-Jul-17,0.47,0.53,386,-6.0000000000000053E-2
20–24 Jul 2017,24-Jul-17,0.5,0.5,387,0
25-Jul-17,25-Jul-17,0.47,0.53,388,-6.0000000000000053E-2
01-Aug-17,01-Aug-17,0.48,0.52,395,-4.0000000000000036E-2
3–6 Aug 2017,06-Aug-17,0.47,0.53,400,-6.0000000000000053E-2
08-Aug-17,08-Aug-17,0.46,0.54,402,-8.0000000000000016E-2
15-Aug-17,15-Aug-17,0.46,0.54,409,-8.0000000000000016E-2
17–20 Aug 2017,20-Aug-17,0.46,0.54,414,-8.0000000000000016E-2
17–21 Aug 2017,21-Aug-17,0.51,0.49,415,2.0000000000000018E-2
