2022,,,,,
,Date,Two-party-preferred,,,
,,ALP,Lib/Nat,Days Since Election,Net on 2PP (Incumbent - Oppositon) - 2022
26 February – 3 March 2024,03-Mar-24,0.53500000000000003,0.46500000000000002,652,7.0000000000000007E-2
21–25 February 2024,25-Feb-24,0.47,0.48,645,-1.0000000000000009E-2
19–25 February 2024,25-Feb-24,0.5,0.5,645,0
19–23 February 2024,23-Feb-24,0.52,0.48,643,4.0000000000000036E-2
16–18 February 2024,18-Feb-24,0.51,0.49,638,2.0000000000000018E-2
12–18 February 2024,18-Feb-24,0.52500000000000002,0.47499999999999998,638,5.0000000000000044E-2
7–11 February 2024,11-Feb-24,0.5,0.46,631,3.999999999999998E-2
5–11 February 2024,11-Feb-24,0.52,0.48,631,4.0000000000000036E-2
2–7 February 2024,07-Feb-24,0.52,0.48,627,4.0000000000000036E-2
30 January – 7 February 2024,07-Feb-24,0.51200000000000001,0.48799999999999999,627,2.4000000000000021E-2
29 January – 4 February 2024,04-Feb-24,0.53,0.47,624,6.0000000000000053E-2
31 January–3 February 2024,03-Feb-24,0.52,0.48,623,4.0000000000000036E-2
24–28 January 2024,28-Jan-24,0.48,0.46,617,1.9999999999999962E-2
22–27 January 2024,27-Jan-24,0.505,0.495,616,1.0000000000000009E-2
15–21 January 2024,21-Jan-24,0.52500000000000002,0.47499999999999998,610,5.0000000000000044E-2
12–17 January 2024,17-Jan-24,0.52,0.48,606,4.0000000000000036E-2
8–14 January 2024,14-Jan-24,0.51500000000000001,0.48499999999999999,603,3.0000000000000027E-2
10–11 January 2024,11-Jan-24,0.5,0.5,600,0
1–7 January 2024,07-Jan-24,0.49,0.51,596,-2.0000000000000018E-2
15–17 December 2023,17-Dec-23,0.5,0.5,575,0
11–17 December 2023,17-Dec-23,0.5,0.5,575,0
11–15 December 2023,15-Dec-23,0.52,0.48,573,4.0000000000000036E-2
6–11 December 2023,11-Dec-23,0.49,0.46,569,2.9999999999999971E-2
6–11 December 2023,11-Dec-23,0.52800000000000002,0.47199999999999998,569,5.600000000000005E-2
1–5 December 2023,05-Dec-23,0.51,0.49,563,2.0000000000000018E-2
29 November–3 December 2023,03-Dec-23,0.55000000000000004,0.45,561,0.10000000000000003
27 November–3 December 2023,03-Dec-23,0.51,0.49,561,2.0000000000000018E-2
22–26 November 2023,26-Nov-23,0.48,0.47,554,1.0000000000000009E-2
20–26 November 2023,26-Nov-23,0.52500000000000002,0.47499999999999998,554,5.0000000000000044E-2
20–24 November 2023,24-Nov-23,0.5,0.5,552,0
13–19 November 2023,19-Nov-23,0.495,0.505,547,-1.0000000000000009E-2
10–14 November 2023,14-Nov-23,0.51,0.49,542,2.0000000000000018E-2
8–12 November 2023,12-Nov-23,0.49,0.47,540,2.0000000000000018E-2
6–12 November 2023,12-Nov-23,0.5,0.5,540,0
1–5 November 2023,05-Nov-23,0.56999999999999995,0.43,533,0.13999999999999996
30 October–3 November 2023,03-Nov-23,0.52,0.48,531,4.0000000000000036E-2
25–29 October 2023,29-Oct-23,0.48,0.46,526,1.9999999999999962E-2
23–29 October 2023,29-Oct-23,0.53,0.47,526,6.0000000000000053E-2
16–22 October 2023,22-Oct-23,0.495,0.505,519,-1.0000000000000009E-2
4–12 October 2023,12-Oct-23,0.54,0.46,509,8.0000000000000016E-2
6–10 October 2023,10-Oct-23,0.53,0.47,507,6.0000000000000053E-2
3–6 October 2023,06-Oct-23,0.53,0.47,503,6.0000000000000053E-2
22 September–4 October 2023,04-Oct-23,0.56999999999999995,0.43,501,0.13999999999999996
27 September–1 October 2023,01-Oct-23,0.5,0.45,498,4.9999999999999989E-2
25–29 September 2023,29-Sep-23,0.53,0.47,496,6.0000000000000053E-2
22–24 September 2023,24-Sep-23,0.51,0.49,491,2.0000000000000018E-2
18–22 September 2023,22-Sep-23,0.54,0.46,489,8.0000000000000016E-2
13–17 September 2023,17-Sep-23,0.49,0.45,484,3.999999999999998E-2
4–10 September 2023,10-Sep-23,0.52500000000000002,0.47499999999999998,477,5.0000000000000044E-2
6–9 September 2023,09-Sep-23,0.55500000000000005,0.44500000000000001,476,0.11000000000000004
30 August–3 September 2023,03-Sep-23,0.51,0.43,470,8.0000000000000016E-2
28 August–3 September 2023,03-Sep-23,0.53,0.47,470,6.0000000000000053E-2
28 August–1 September 2023,01-Sep-23,0.53,0.47,468,6.0000000000000053E-2
16–20 August 2023,20-Aug-23,0.51,0.43,456,8.0000000000000016E-2
9–13 August 2023,13-Aug-23,0.56000000000000005,0.44,449,0.12000000000000005
2–6 August 2023,06-Aug-23,0.52,0.42,442,0.10000000000000003
19–23 July 2023,23-Jul-23,0.5,0.45,428,4.9999999999999989E-2
12–15 July 2023,15-Jul-23,0.59,0.41,420,0.18
12–15 July 2023,15-Jul-23,0.55000000000000004,0.45,420,0.10000000000000003
5–9 July 2023,09-Jul-23,0.51,0.44,414,7.0000000000000007E-2
21–25 June 2023,25-Jun-23,0.52,0.42,400,0.10000000000000003
16–24 June 2023,24-Jun-23,0.54,0.46,399,8.0000000000000016E-2
7–11 June 2023,11-Jun-23,0.52,0.42,386,0.10000000000000003
6–11 June 2023,11-Jun-23,0.6,0.4,386,0.19999999999999996
31 May – 3 June 2023,03-Jun-23,0.55000000000000004,0.45,378,0.10000000000000003
24–28 May 2023,28-May-23,0.52,0.43,372,9.0000000000000024E-2
15–17 May 2023,17-May-23,0.52,0.48,361,4.0000000000000036E-2
10–14 May 2023,14-May-23,0.53,0.42,358,0.11000000000000004
11–13 May 2023,13-May-23,0.55000000000000004,0.45,357,0.10000000000000003
