ID2!AJP!ALP!ASP!AUC!AUP!AUVA!CEC!CLP!CYA!DHJP!DPDA!GAP!Grn!GVIC!HMP!IAP!IMO!IND!JLN!KAP!LDP!LNP!Lib!Nat!One!REAS!SAL!SOPA!SPP!TLOC!TNL!UAP!VNS!WAP!XEN
AJP||17.01||0.17|||||||||24.81|12.01|0.66||1.26|6.24|0.75|0.26|1.77|3.12|8.08|0.32|10.44|0.19|0.65|0.11||0.21||9.39|1.36|0.72|0.47
ALP|||||||||||||18.87|||||48.29||3.76||7.31|11.39|4.08|||||||||||6.3
ASP||17.48|||||||||||6.4|||||2.87|||5.03|4.49|11.52|11.18|35.97|||||||5.05|||
AUC|0.41|10.67||||||||||2.63|7.27|||||0.91|||||43.82||22.06|||||||7.46||4.77|
AUD||25.81|||||||||||17.36||||2.76|7.07|||9.22||11.52||2.92||||15.67|||7.68|||
AUP|17.01|12.85|||||||3.04||3.21||35.59||||||||6.94|3.73|2.95||6.34|||||||8.33|||
AUVA|8.13|11.27||||||||0.12|||13.73|0.48|||3.35|4.88|||3.13|14.42|0.46||25.24|||||||14.78|||
CEC|1.99|16.59||||||2.33|0.93|0.45||0.57|13.84|3.57||0.67|0.41|11.3|||5.04||7.13|3.4|12.05||2.15|0.67|||0.36|14.93|1.62||
CYA|2.07|11.3|0.38|1.61|0.07|0.39|0.07|||0.29|0.11|5.32|6.3|3.4||0.14|0.99|6.11||0.07|8.14|1.48|8.32|0.34|22.78|0.08|0.51|0.33||||14.87|1.27|3.1|0.14
DHJP|13.32|11.78||||||||||||10.32||||13.54|||6.15||14.93|0.85|18.41|||||||10.69|||
DPDA|4.59|23.03|||||||||||24.44||||||||7.59||20.15||4.89|||8.66||||6.65|||
GAP|0.79|10.74||0.53|||||2.35||||9.34|0.73|||1.52|4.17||1.44|0.71|1.46|6.83|0.98|41.94|||||||12.32|0.17|4|
Grn||72.36|0.05|||||0.37||||||||0.1||4.53|0.3|0.24|0.11|5.32|11.69|1.2|2.8|||||||0.43|||0.52
GVIC||74.97||||||||||||||||5.7|||0.02||15.84|0.57|0.33|||||||2.57|||
HMP||21.12|||||||||||34.21|||||||||12.84|||31.82||||||||||
IAP|2.32|30.22|||||||||||7.46||||1.35|5.05|||17.5||1.14|16.45|16.49|||||||2.02|||
IMO|3.87|8.8||0.37||||||||0.93|12.49|||0.56||13.78||2.38|3.66|3.08|3.63|0.86|24.43||1.33||0.89||0.12|18.35||0.48|
IND|0.33|36.57|0.29||||0|0.04||0.01||0.01|8.51|3.54||0.07|0.12|6.34|1.15|0.41|1.59|3.87|16.17|7.77|7.95|||0.01|0.09|||5.05|0.02|0.11|
JLN||52.27|||||||||||10.26||||||||||37.47||||||||||||
KAP||26.51|||||||||||6.02|||||||||43.73|||23.74||||||||||
LDP|0.56|13.11|0.1|0.18||0.07||1.65|0.09|||0.17|5.36|2.93|0.04|0.01|0.16|3.45|0.18|||3.93|22.42|9.59|16.15|||0.05||0.08||19.1|0.06|0.48|0.08
Lib||50.87|||||||||||14.33|9.81||||15.13||||||9.86|||||||||||
Nat||26.29|||||||||||0.72|||||3.43|||||63.33||5.47|||||||0.76|||
One|0.03|23.51||||||0.33|||||9.95|1.38||||5.94|0.54|0.4|1.25|18.26|20.29|7.67|||0.01|0.01|0.01|0.08||9.95|0.07||0.32
REAS||23.21||||||||||||53.82|||||||7.7||9.18|||||||||6.1|||
SAL||18.44|||||||0.37|||0.56|19.2|31.08||||||4.88|0.85|8.06|7.11||4.34|||||||4.82||0.3|
SOPA|3.27|16.61|||||||||||38.5|5.73|||0.84|7.18||0.53|0.99|0.37|8.14|0.28|4.6||0.82|||||10.1|2.03||
SPP||18.94||||||||1.45|||23.88|2.11||||6.97|||19.18||8.61||11.38|||||||7.48|||
TLOC||27.8|||||||||||28.77|||||3.19|26.57||0.31||11.86||0.71|||||||0.8|||
TNL|1.04|16.6|||0.71||||1.64||0.23|1.32|14.23|9.41||0.26||19.98|||3.92|4.74|7.1|0.42|10.4||||1.1|||6.87|||
UAP|0.03|19.19|0.12|0.07||||0.1||||0.19|6.87|4.34|0.12|0.04||6.54|0.14|0.7|1.35|3.54|29.09|1.38|25.7||0.02||0.04|0.02|||0.1|0.24|0.06
VNS||15.73|||||||0.17|||0.55||55.23||||1.68|||0.92||7.45||2.9||5.38||||0.21|9.79|||
WAP|1|22.59||2.08||||||||5.96|18.52|||||2.23|||||19.69|0.77|20.37|||||||6.79|||
