'Electorate','ID1','ID2','Number',,, value
'Bean','ON','UAPP',1395,'BeanON',2680,0.520522388059702
'Bean','ON','ALP',285,'BeanON',2680,0.10634328358209
'Bean','ON','IND',425,'BeanON',2680,0.158582089552239
'Bean','ON','GRN',109,'BeanON',2680,0.0406716417910448
'Bean','ON','LP',466,'BeanON',2680,0.173880597014925
'Bean','UAPP','ALP',983,'BeanUAPP',4226,0.23260766682442
'Bean','UAPP','IND',1613,'BeanUAPP',4226,0.38168480832939
'Bean','UAPP','GRN',262,'BeanUAPP',4226,0.0619971604353999
'Bean','UAPP','LP',1368,'BeanUAPP',4226,0.32371036441079
'Bean','IND','ALP',3392,'BeanIND',10061,0.337143425106848
'Bean','IND','GRN',3981,'BeanIND',10061,0.395686313487725
'Bean','IND','LP',2688,'BeanIND',10061,0.267170261405427
'Bean','GRN','ALP',16215,'BeanGRN',18911,0.857437470255407
'Bean','GRN','LP',2696,'BeanGRN',18911,0.142562529744593
'Canberra','ON','UAPP',859,'CanberraON',1531,0.561071195297191
'Canberra','ON','IND',205,'CanberraON',1531,0.133899412148922
'Canberra','ON','LP',303,'CanberraON',1531,0.197909862834749
'Canberra','ON','GRN',66,'CanberraON',1531,0.0431090790333116
'Canberra','ON','ALP',98,'CanberraON',1531,0.0640104506858263
'Canberra','UAPP','IND',1299,'CanberraUAPP',2546,0.510212097407698
'Canberra','UAPP','LP',845,'CanberraUAPP',2546,0.331893165750196
'Canberra','UAPP','GRN',169,'CanberraUAPP',2546,0.0663786331500393
'Canberra','UAPP','ALP',233,'CanberraUAPP',2546,0.091516103692066
'Canberra','IND','LP',2140,'CanberraIND',6276,0.340981516889739
'Canberra','IND','GRN',2393,'CanberraIND',6276,0.381293817718292
'Canberra','IND','ALP',1743,'CanberraIND',6276,0.277724665391969
'Canberra','LP','GRN',9478,'CanberraLP',23390,0.405215904232578
'Canberra','LP','ALP',13912,'CanberraLP',23390,0.594784095767422
'Fenner','LDP','ALP',255,'FennerLDP',1706,0.14947245017585
'Fenner','LDP','LP',688,'FennerLDP',1706,0.403282532239156
'Fenner','LDP','UAPP',238,'FennerLDP',1706,0.139507620164127
'Fenner','LDP','ON',273,'FennerLDP',1706,0.160023446658851
'Fenner','LDP','GRN',252,'FennerLDP',1706,0.147713950762016
'Fenner','UAPP','ALP',351,'FennerUAPP',2584,0.135835913312693
'Fenner','UAPP','LP',481,'FennerUAPP',2584,0.186145510835913
'Fenner','UAPP','ON',1434,'FennerUAPP',2584,0.554953560371517
'Fenner','UAPP','GRN',318,'FennerUAPP',2584,0.123065015479876
'Fenner','ON','ALP',823,'FennerON',4126,0.19946679592826
'Fenner','ON','LP',2228,'FennerON',4126,0.539990305380514
'Fenner','ON','GRN',1075,'FennerON',4126,0.260542898691226
'Fenner','GRN','ALP',14437,'FennerGRN',16939,0.852293523820769
'Fenner','GRN','LP',2502,'FennerGRN',16939,0.147706476179231
'Banks','nan','LP',132,'Banksnan',961,0.13735691987513
'Banks','nan','LDP',147,'Banksnan',961,0.152965660770031
'Banks','nan','UAPP',118,'Banksnan',961,0.122788761706556
'Banks','nan','GRN',231,'Banksnan',961,0.240374609781478
'Banks','nan','ON',114,'Banksnan',961,0.118626430801249
'Banks','nan','ALP',219,'Banksnan',961,0.227887617065557
'Banks','LDP','LP',444,'BanksLDP',1411,0.31467044649185
'Banks','LDP','UAPP',558,'BanksLDP',1411,0.395464209780298
'Banks','LDP','GRN',92,'BanksLDP',1411,0.0652019844082211
'Banks','LDP','ON',201,'BanksLDP',1411,0.142452161587527
'Banks','LDP','ALP',116,'BanksLDP',1411,0.0822111977321049
'Banks','ON','LP',522,'BanksON',2943,0.17737003058104
'Banks','ON','UAPP',1806,'BanksON',2943,0.613659531090724
'Banks','ON','GRN',249,'BanksON',2943,0.0846075433231397
'Banks','ON','ALP',366,'BanksON',2943,0.124362895005097
'Banks','UAPP','LP',3958,'BanksUAPP',7530,0.525630810092962
'Banks','UAPP','GRN',1683,'BanksUAPP',7530,0.223505976095618
'Banks','UAPP','ALP',1889,'BanksUAPP',7530,0.250863213811421
'Banks','GRN','LP',2291,'BanksGRN',10318,0.222039154874976
'Banks','GRN','ALP',8027,'BanksGRN',10318,0.777960845125024
'Barton','ON','ALP',412,'BartonON',4373,0.0942144980562543
'Barton','ON','UAPP',2850,'BartonON',4373,0.651726503544478
'Barton','ON','GRN',314,'BartonON',4373,0.0718042533729705
'Barton','ON','LP',797,'BartonON',4373,0.182254745026298
'Barton','UAPP','ALP',2154,'BartonUAPP',8461,0.254579836898712
'Barton','UAPP','GRN',1933,'BartonUAPP',8461,0.22845999290864
'Barton','UAPP','LP',4374,'BartonUAPP',8461,0.516960170192649
'Barton','GRN','ALP',11282,'BartonGRN',13688,0.824225599064874
'Barton','GRN','LP',2406,'BartonGRN',13688,0.175774400935126
'Bennelong','DPDA','SOPA',202,'BennelongDPDA',1208,0.167218543046358
'Bennelong','DPDA','GRN',260,'BennelongDPDA',1208,0.21523178807947
'Bennelong','DPDA','LDP',73,'BennelongDPDA',1208,0.0604304635761589
'Bennelong','DPDA','LP',233,'BennelongDPDA',1208,0.192880794701987
'Bennelong','DPDA','UAPP',82,'BennelongDPDA',1208,0.0678807947019868
'Bennelong','DPDA','ON',47,'BennelongDPDA',1208,0.0389072847682119
'Bennelong','DPDA','ALP',311,'BennelongDPDA',1208,0.257450331125828
'Bennelong','LDP','SOPA',82,'BennelongLDP',1612,0.0508684863523573
'Bennelong','LDP','GRN',188,'BennelongLDP',1612,0.116625310173697
'Bennelong','LDP','LP',671,'BennelongLDP',1612,0.416253101736973
'Bennelong','LDP','UAPP',181,'BennelongLDP',1612,0.112282878411911
'Bennelong','LDP','ON',320,'BennelongLDP',1612,0.198511166253102
