2022 Federal Election House of Representatives Candidates [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:58 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PartyAb,PartyNm,CandidateID,Surname,GivenNm,Elected,HistoricElected
VIC,214,Goldstein,ALP,Australian Labor Party,36416,ABBOTT,Martyn,N,N
VIC,203,Calwell,GVIC,The Greens,36530,ABBOUD,Natalie,N,N
WA,248,Tangney,GRN,The Greens (WA),36635,ABDUL RAZAK,Adam,N,N
VIC,223,La Trobe,LDP,Liberal Democrats,36965,ABELMAN,Michael,N,N
VIC,223,La Trobe,ALP,Australian Labor Party,36458,ABHIMANYU KUMAR,,N,N
VIC,328,Corangamite,UAPP,United Australia Party,35997,ABOU-ZEID,Daniel William,N,N
VIC,211,Flinders,LDP,Liberal Democrats,36924,ABRAHAM,Chrysten,N,N
QLD,164,Groom,ON,Pauline Hanson's One Nation,38219,ABRAHAM,Grant,N,N
NSW,125,Hume,IND,Independent,37807,ACKERY,Penny,N,N
VIC,208,Corio,AJP,Animal Justice Party,36681,ADAMS,Naomi,N,N
NSW,105,Bennelong,GRN,The Greens,36300,ADAMS,Tony,N,N
NT,306,Lingiari,IND,Independent,37808,ADAMSON AGARS,Imelda,N,N
WA,244,Pearce,LP,Liberal,36598,AITKEN,Linda,N,N
WA,239,Forrest,GAP,The Great Australian Party,36881,AITKEN,Tracy Nyree,N,N
NSW,251,Watson,LP,Liberal,37056,AKTER,Sazeda,N,N
NSW,121,Grayndler,ALP,Labor,36782,ALBANESE,Anthony,Y,Y
VIC,232,Scullin,UAPP,United Australia Party,36027,ALBARRI,Yassin,N,N
VIC,218,Indi,AJP,Animal Justice Party,36698,ALEKSOV,Angel,N,N
WA,239,Forrest,UAPP,United Australia Party,36487,ALLAN,Helen,N,N
VIC,215,Higgins,LP,Liberal,36732,ALLEN,Katie,N,Y
QLD,164,Groom,ALP,Australian Labor Party,37236,ALLPASS,Gen,N,N
SA,190,Sturt,ON,Pauline Hanson's One Nation,36887,ALLWOOD,Alexander,N,N
SA,179,Adelaide,ON,Pauline Hanson's One Nation,36885,ALLWOOD,Gayle,N,N
SA,179,Adelaide,UAPP,United Australia Party,36094,ALLWOOD,Sean,N,N
WA,237,Cowan,ALP,Australian Labor Party,37205,ALY,Anne,Y,Y
ACT,318,Bean,ON,Pauline Hanson's One Nation,37455,AMBARD,Benjamin,N,N
VIC,216,Holt,ON,Pauline Hanson's One Nation,37635,AMBARD,Sandy,N,N
WA,237,Cowan,AJP,Animal Justice Party,37219,ANAGNO,Michael,N,N
VIC,215,Higgins,ALP,Australian Labor Party,36433,ANANDA-RAJAH,Michelle,Y,N
VIC,221,Kooyong,IND,Independent,37800,ANDERSON,Will,N,N
WA,242,Moore,GAP,The Great Australian Party,37325,ANDERSSON,Sue,N,N
QLD,161,Fisher,ALP,Australian Labor Party,37247,ANDREWS,Judene,N,N
QLD,171,McPherson,LNP,Liberal National Party of Queensland,37494,ANDREWS,Karen,Y,Y
NSW,149,Sydney,LP,Liberal,37153,ANDRUSKA,Alexander,N,N
VIC,322,Macnamara,ON,Pauline Hanson's One Nation,37779,ANNE,Debera,N,N
VIC,225,Maribyrnong,CYA,Australian Federation Party,37582,ANSALONE,Alexander Anthony,N,N
VIC,205,Chisholm,CYA,Australian Federation Party,37796,ANTONIE,Anthea,N,N
TAS,192,Bass,LP,Liberal,37134,ARCHER,Bridget Kathleen,Y,Y
QLD,178,Wide Bay,GRN,Queensland Greens,37371,ARMSTRONG,Craig,N,N
NSW,137,North Sydney,GRN,The Greens,36367,ARMSTRONG,Heather,N,N
VIC,328,Corangamite,LP,Liberal,36708,ASHER,Stephanie,N,N
NSW,113,Cowper,ON,Pauline Hanson's One Nation,37556,ASPIOTIS,Faye,N,N
