,,,,,,,,,,
StateAb,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,CalculationType,CalculationValue
ACT,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Count,2831
ACT,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Percent,2.88
ACT,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Count,0
ACT,Bean,0,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Percent,0
ACT,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Count,2680
ACT,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Percent,2.72
ACT,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Bean,0,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Count,41060
ACT,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Percent,41.73
ACT,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Count,0
ACT,Bean,0,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Percent,0
ACT,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Count,8023
ACT,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Percent,8.15
ACT,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Count,0
ACT,Bean,0,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Percent,0
ACT,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Count,14559
ACT,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Percent,14.8
ACT,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Count,0
ACT,Bean,0,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Percent,0
ACT,Bean,0,6,37198,HIATT,Jane,LP,Liberal,Preference Count,29241
ACT,Bean,0,6,37198,HIATT,Jane,LP,Liberal,Preference Percent,29.72
ACT,Bean,0,6,37198,HIATT,Jane,LP,Liberal,Transfer Count,0
ACT,Bean,0,6,37198,HIATT,Jane,LP,Liberal,Transfer Percent,0
ACT,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Count,4226
ACT,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Percent,4.29
ACT,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Count,1395
ACT,Bean,1,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Percent,52.05
ACT,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Count,-2680
ACT,Bean,1,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Percent,-100
ACT,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Count,41345
ACT,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Percent,42.02
ACT,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Count,285
ACT,Bean,1,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Percent,10.63
ACT,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Count,8448
ACT,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Percent,8.59
ACT,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Count,425
ACT,Bean,1,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Percent,15.86
ACT,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Count,14668
ACT,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Percent,14.91
ACT,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Count,109
ACT,Bean,1,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Percent,4.07
ACT,Bean,1,6,37198,HIATT,Jane,LP,Liberal,Preference Count,29707
ACT,Bean,1,6,37198,HIATT,Jane,LP,Liberal,Preference Percent,30.19
ACT,Bean,1,6,37198,HIATT,Jane,LP,Liberal,Transfer Count,466
ACT,Bean,1,6,37198,HIATT,Jane,LP,Liberal,Transfer Percent,17.39
ACT,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Count,0
ACT,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Percent,0
ACT,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Count,-4226
ACT,Bean,2,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Percent,-100
ACT,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Bean,2,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Count,42328
ACT,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Preference Percent,43.02
ACT,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Count,983
ACT,Bean,2,3,36231,SMITH,David,ALP,Australian Labor Party,Transfer Percent,23.26
ACT,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Count,10061
ACT,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,Preference Percent,10.23
ACT,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Count,1613
ACT,Bean,2,4,32130,CHRISTIE,Jamie,IND,Independent,Transfer Percent,38.17
ACT,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Count,14930
ACT,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Preference Percent,15.17
ACT,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Count,262
ACT,Bean,2,5,36243,SAVERY,Kathryn Jane,GRN,The Greens,Transfer Percent,6.2
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Preference Count,31075
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Preference Percent,31.58
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Transfer Count,1368
ACT,Bean,2,6,37198,HIATT,Jane,LP,Liberal,Transfer Percent,32.37
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Count,0
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Preference Percent,0
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Count,0
ACT,Bean,3,1,36239,CONWAY,Sean,UAPP,United Australia Party,Transfer Percent,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Bean,3,2,37455,AMBARD,Benjamin,ON,Pauline Hanson's One Nation,Transfer Count,0
