Adelaide,179,SA,ALP,38.09,61.91,-3.73
Aston,197,VIC,LP,52.81,47.19,-7.32
Ballarat,198,VIC,ALP,37.03,62.97,-2.74
Banks,103,NSW,LP,53.2,46.8,-3.06
Barker,180,SA,LP,66.62,33.38,-2.32
Barton,104,NSW,ALP,34.46,65.54,-6.13
Bass,192,TAS,LP,51.43,48.57,1.02
Bean,318,ACT,ALP,37.05,62.95,-5.43
Bendigo,200,VIC,ALP,37.89,62.11,-3.26
Bennelong,105,NSW,ALP,49.02,50.98,-7.89
Berowra,106,NSW,LP,59.77,40.23,-5.88
Blair,304,QLD,ALP,44.77,55.23,-4.02
Blaxland,107,NSW,ALP,35.06,64.94,-0.22
Bonner,310,QLD,LNP,53.41,46.59,-4
Boothby,182,SA,ALP,46.72,53.28,-4.66
Bowman,155,QLD,LNP,55.51,44.49,-4.73
Braddon,193,TAS,LP,58.03,41.97,4.94
Bradfield,108,NSW,LP,56.55,43.45,-10.01
Brand,235,WA,ALP,33.29,66.71,-10.05
Brisbane,156,QLD,ALP,45.6,54.4,-9.32
Bruce,201,VIC,ALP,43.41,56.59,0.69
Burt,317,WA,ALP,34.79,65.21,-9.71
Calare,109,NSW,NP,65.45,34.55,2.16
Calwell,203,VIC,ALP,37.61,62.39,7.23
Canberra,101,ACT,ALP,27.54,72.46,-5.38
Canning,236,WA,LP,53.59,46.41,-7.97
Capricornia,157,QLD,LNP,56.59,43.41,-5.76
Casey,204,VIC,LP,51.48,48.52,-3.14
Chifley,111,NSW,ALP,36.53,63.47,-1.1
Chisholm,205,VIC,ALP,43.59,56.41,-6.86
Clark,319,TAS,ALP,32.76,67.24,-1.07
Cook,112,NSW,LP,62.44,37.56,-6.58
Cooper,320,VIC,ALP,24.54,75.46,0.75
Corangamite,328,VIC,ALP,42.4,57.6,-6.55
Corio,208,VIC,ALP,37.16,62.84,-2.52
Cowan,237,WA,ALP,39.18,60.82,-9.96
Cowper,113,NSW,NP,59.47,40.53,-2.41
Cunningham,114,NSW,ALP,35.3,64.7,-1.29
Curtin,238,WA,LP,55.6,44.4,-8.35
Dawson,158,QLD,LNP,60.42,39.58,-4.19
Deakin,209,VIC,LP,50.19,49.81,-4.5
Dickson,252,QLD,LNP,51.7,48.3,-2.94
Dobell,115,NSW,ALP,43.48,56.52,-5.02
Dunkley,210,VIC,ALP,43.73,56.27,-3.53
Durack,312,WA,LP,54.27,45.73,-9.22
EdenMonaro,117,NSW,ALP,41.8,58.2,-7.35
Fadden,159,QLD,LNP,60.63,39.37,-3.55
Fairfax,160,QLD,LNP,58.95,41.05,-4.49
Farrer,118,NSW,LP,66.35,33.65,-3.48
Fenner,102,ACT,ALP,34.31,65.69,-5.13
Fisher,161,QLD,LNP,58.67,41.33,-4.03
Flinders,211,VIC,LP,56.7,43.3,1.06
Flynn,311,QLD,LNP,53.82,46.18,-4.84
Forde,162,QLD,LNP,54.23,45.77,-4.37
Forrest,239,WA,LP,54.29,45.71,-10.29
Fowler,119,NSW,ALP,44.28,55.72,8.27
Franklin,195,TAS,ALP,36.3,63.7,-1.49
Fraser,321,VIC,ALP,33.5,66.5,1.55
Fremantle,240,WA,ALP,33.11,66.89,-9.97
Gellibrand,212,VIC,ALP,38.46,61.54,1.48
Gilmore,120,NSW,ALP,49.83,50.17,2.44
Gippsland,213,VIC,NP,70.57,29.43,3.9
Goldstein,214,VIC,LP,54.8,45.2,-2.99
Gorton,309,VIC,ALP,40.03,59.97,4.27
Grayndler,121,NSW,ALP,21.15,78.85,-5.02
Greenway,122,NSW,ALP,38.47,61.53,-8.73
Grey,183,SA,LP,60.07,39.93,-3.25
Griffith,163,QLD,ALP,38.93,61.07,-8.21
Groom,164,QLD,LNP,64.17,35.83,-6.31
Hasluck,305,WA,ALP,44,56,-11.89
Hawke,326,VIC,ALP,42.37,57.63,2.59
Herbert,165,QLD,LNP,61.77,38.23,3.41
Higgins,215,VIC,ALP,47.94,52.06,-4.67
Hindmarsh,185,SA,ALP,41.05,58.95,-2.41
Hinkler,166,QLD,LNP,60.07,39.93,-4.43
Holt,216,VIC,ALP,42.88,57.12,1.51
Hotham,217,VIC,ALP,35.75,64.25,-3.07
Hughes,124,NSW,LP,57.01,42.99,-2.84
Hume,125,NSW,LP,57.72,42.28,-5.27
Hunter,126,NSW,ALP,45.97,54.03,-1.05
Indi,218,VIC,LP,55.26,44.74,-7.47
Isaacs,219,VIC,ALP,43.15,56.85,-0.39
Jagajaga,220,VIC,ALP,37.65,62.35,-6.46
Kennedy,167,QLD,LNP,60.16,39.84,-4.35
Kingsford Smith,127,NSW,ALP,35.5,64.5,-5.69
Kingston,186,SA,ALP,33.65,66.35,-4.41
Kooyong,221,VIC,LP,54.18,45.82,-2.21
La Trobe,223,VIC,LP,58.69,41.31,3.56
Lalor,222,VIC,ALP,37.18,62.82,-0.36
Leichhardt,168,QLD,LNP,53.44,46.56,-0.73
Lilley,169,QLD,ALP,39.46,60.54,-9.9
Lindsay,128,NSW,LP,56.34,43.66,1.3
Lingiari,306,NT,ALP,49.05,50.95,4.51
Longman,302,QLD,LNP,53.08,46.92,-0.2
Lyne,130,NSW,NP,63.8,36.2,-1.37
Lyons,196,TAS,ALP,49.08,50.92,4.26
Macarthur,131,NSW,ALP,41.47,58.53,-0.13
Mackellar,132,NSW,LP,58.6,41.4,-4.62
Macnamara,322,VIC,ALP,37.75,62.25,-7.34
Macquarie,133,NSW,ALP,42.23,57.77,-7.58
Makin,187,SA,ALP,39.2,60.8,-1.08
Mallee,224,VIC,NP,68.99,31.01,3.31
Maranoa,170,QLD,LNP,72.12,27.88,-3.3
Maribyrnong,225,VIC,ALP,37.55,62.45,-2.14
Mayo,188,SA,ALP,48.41,51.59,-4.13
McEwen,226,VIC,ALP,46.72,53.28,2
McMahon,315,NSW,ALP,40.51,59.49,-2.85
McPherson,171,QLD,LNP,59.34,40.66,-2.86
Melbourne,228,VIC,ALP,22.09,77.91,-10.11
Menzies,229,VIC,LP,50.68,49.32,-6.34
Mitchell,134,NSW,LP,60.69,39.31,-7.94
Monash,323,VIC,LP,52.9,47.1,-3.96
Moncrieff,172,QLD,LNP,61.19,38.81,-4.17
Moore,242,WA,LP,50.66,49.34,-10.96
Moreton,173,QLD,ALP,40.91,59.09,-7.19
New England,135,NSW,NP,66.43,33.57,-1.2
Newcastle,136,NSW,ALP,32.02,67.98,-4.15
Nicholls,324,VIC,NP,67.15,32.85,-2.88
North Sydney,137,NSW,LP,51.26,48.74,-8.01
O'Connor,243,WA,LP,56.97,43.03,-8.44
Oxley,174,QLD,ALP,38.41,61.59,-5.2
Page,138,NSW,NP,60.74,39.26,1.29
Parkes,139,NSW,NP,67.84,32.16,0.93
Parramatta,140,NSW,ALP,45.43,54.57,-1.07
Paterson,249,NSW,ALP,46.69,53.31,1.73
Pearce,244,WA,ALP,40.96,59.04,-14.23
Perth,245,WA,ALP,35.2,64.8,-11.57
Petrie,175,QLD,LNP,54.44,45.56,-3.96
Rankin,176,QLD,ALP,40.91,59.09,-2.65
Reid,144,NSW,ALP,44.81,55.19,-8.37
Richmond,145,NSW,ALP,41.77,58.23,-4.15
Riverina,250,NSW,NP,64.85,35.15,-4.63
Robertson,146,NSW,ALP,47.74,52.26,-6.5
Ryan,177,QLD,ALP,47.58,52.42,-8.45
Scullin,232,VIC,ALP,34.42,65.58,6.08
Shortland,148,NSW,ALP,44.18,55.82,-1.37
Solomon,307,NT,ALP,40.63,59.37,-6.29
Spence,325,SA,ALP,37.1,62.9,1.23
Sturt,190,SA,LP,50.45,49.55,-6.42
Swan,247,WA,ALP,41.23,58.77,-11.99
Sydney,149,NSW,ALP,24.43,75.57,-6.9
