ID1,ID2,Percentage
AJP,ALP,17.01
AJP,AUC,0.17
AJP,GRN,24.81
AJP,GVIC,12.01
AJP,HMP,0.66
AJP,IMO,1.26
AJP,IND,6.24
AJP,JLN,0.75
AJP,KAP,0.26
AJP,LDP,1.77
AJP,LNP,3.12
AJP,LP,8.08
AJP,NP,0.32
AJP,ON,10.44
AJP,REAS,0.19
AJP,SAL,0.65
AJP,SOPA,0.11
AJP,TLOC,0.21
AJP,UAPP,9.39
AJP,VNS,1.36
AJP,WAP,0.72
AJP,XEN,0.47
ALP,GRN,18.87
ALP,IND,48.29
ALP,KAP,3.76
ALP,LNP,7.31
ALP,LP,11.39
ALP,NP,4.08
ALP,XEN,6.30
ASP,ALP,17.48
ASP,GRN,6.40
ASP,IND,2.87
ASP,LDP,5.03
ASP,LNP,4.49
ASP,LP,11.52
ASP,NP,11.18
ASP,ON,35.97
ASP,UAPP,5.05
AUC,AJP,0.41
AUC,ALP,10.67
AUC,GAP,2.63
AUC,GRN,7.27
AUC,IND,0.91
AUC,LP,43.82
AUC,ON,22.06
AUC,UAPP,7.46
AUC,WAP,4.77
AUD,ALP,25.81
AUD,GRN,17.36
AUD,IMO,2.76
AUD,IND,7.07
AUD,LDP,9.22
AUD,LP,11.52
AUD,ON,2.92
AUD,SPP,15.67
AUD,UAPP,7.68
AUP,AJP,17.01
AUP,ALP,12.85
AUP,CYA,3.04
AUP,DPDA,3.21
AUP,GRN,35.59
AUP,LDP,6.94
AUP,LNP,3.73
AUP,LP,2.95
AUP,ON,6.34
AUP,UAPP,8.33
AUVA,AJP,8.13
AUVA,ALP,11.27
AUVA,DHJP,0.12
AUVA,GRN,13.73
AUVA,GVIC,0.48
AUVA,IMO,3.35
AUVA,IND,4.88
AUVA,LDP,3.13
AUVA,LNP,14.42
AUVA,LP,0.46
AUVA,ON,25.24
AUVA,UAPP,14.78
CEC,AJP,1.99
CEC,ALP,16.59
CEC,CLP,2.33
CEC,CYA,0.93
CEC,DHJP,0.45
CEC,GAP,0.57
CEC,GRN,13.84
CEC,GVIC,3.57
CEC,IAP,0.67
CEC,IMO,0.41
