ID1,ID2,Number
ON,UAPP,1395
ON,ALP,285
ON,IND,425
ON,GRN,109
ON,LP,466
UAPP,ALP,983
UAPP,IND,1613
UAPP,GRN,262
UAPP,LP,1368
IND,ALP,3392
IND,GRN,3981
IND,LP,2688
ON,UAPP,859
ON,IND,205
ON,LP,303
ON,GRN,66
ON,ALP,98
UAPP,IND,1299
UAPP,LP,845
UAPP,GRN,169
UAPP,ALP,233
IND,LP,2140
IND,GRN,2393
IND,ALP,1743
LDP,ALP,255
LDP,LP,688
LDP,UAPP,238
LDP,ON,273
LDP,GRN,252
UAPP,ALP,351
UAPP,LP,481
UAPP,ON,1434
UAPP,GRN,318
ON,ALP,823
ON,LP,2228
ON,GRN,1075
nan,LP,132
nan,LDP,147
nan,UAPP,118
nan,GRN,231
nan,ON,114
nan,ALP,219
LDP,LP,444
LDP,UAPP,558
LDP,GRN,92
LDP,ON,201
LDP,ALP,116
ON,LP,522
ON,UAPP,1806
ON,GRN,249
ON,ALP,366
UAPP,LP,3958
UAPP,GRN,1683
UAPP,ALP,1889
ON,ALP,412
ON,UAPP,2850
ON,GRN,314
ON,LP,797
UAPP,ALP,2154
UAPP,GRN,1933
UAPP,LP,4374
DPDA,SOPA,202
DPDA,GRN,260
DPDA,LDP,73
DPDA,LP,233
DPDA,UAPP,82
DPDA,ON,47
DPDA,ALP,311
LDP,SOPA,82
LDP,GRN,188
LDP,LP,671
LDP,UAPP,181
LDP,ON,320
LDP,ALP,170
ON,SOPA,166
ON,GRN,111
ON,LP,361
ON,UAPP,1225
ON,ALP,168
SOPA,GRN,1614
SOPA,LP,278
SOPA,UAPP,283
SOPA,ALP,400
UAPP,GRN,1094
UAPP,LP,2767
UAPP,ALP,825
CYA,LDP,60
CYA,GRN,29
CYA,ON,90
CYA,LP,96
CYA,SOPA,20
CYA,ALP,30
CYA,IND,33
CYA,UAPP,108
CYA,IND,43
IND,LDP,18
IND,GRN,54
IND,ON,19
IND,LP,71
IND,SOPA,24
IND,ALP,73
IND,UAPP,51
IND,IND,627
SOPA,LDP,63
SOPA,GRN,626
SOPA,ON,50
SOPA,LP,158
SOPA,ALP,235
SOPA,UAPP,47
SOPA,IND,283
LDP,GRN,536
LDP,ON,311
LDP,LP,1091
LDP,ALP,148
LDP,UAPP,236
LDP,IND,126
UAPP,GRN,149
UAPP,ON,1586
UAPP,LP,449
UAPP,ALP,171
UAPP,IND,402
IND,GRN,1044
IND,ON,480
IND,LP,788
IND,ALP,971
ON,GRN,998
ON,LP,3179
ON,ALP,1331
ON,LP,1700
ON,GRN,415
ON,ALP,420
ON,UAPP,1886
GRN,LP,986
GRN,ALP,3840
GRN,UAPP,776
ON,IND,106
ON,ALP,52
ON,GRN,45
ON,IND,73
ON,UAPP,896
ON,LP,396
IND,IND,1840
IND,ALP,352
IND,GRN,475
IND,UAPP,120
IND,LP,304
UAPP,IND,1049
UAPP,ALP,346
UAPP,GRN,287
UAPP,LP,1830
GRN,IND,4592
GRN,ALP,4199
GRN,LP,976
UAPP,IND,622
UAPP,ON,2055
UAPP,GRN,153
UAPP,ALP,311
UAPP,NP,926
GRN,IND,2283
GRN,ON,332
GRN,ALP,1886
GRN,NP,543
ON,IND,4393
ON,ALP,1446
ON,NP,5605
IND,ON,281
IND,UAPP,307
IND,LDP,187
IND,GRN,310
IND,LP,294
IND,ALP,460
LDP,ON,478
LDP,UAPP,409
LDP,GRN,400
LDP,LP,1501
LDP,ALP,662
UAPP,ON,3414
UAPP,GRN,718
UAPP,LP,760
UAPP,ALP,973
GRN,ON,972
GRN,LP,1551
GRN,ALP,4527
UAPP,ON,2767
UAPP,GRN,478
UAPP,LP,699
UAPP,ALP,437
ON,GRN,2217
ON,LP,3136
ON,ALP,2399
UAPP,ON,1169
UAPP,ALP,156
UAPP,NP,283
UAPP,IND,353
UAPP,LDP,462
UAPP,GRN,251
LDP,ON,1461
LDP,ALP,400
LDP,NP,1764
LDP,IND,799
LDP,GRN,354
GRN,ON,495
GRN,ALP,2268
GRN,NP,631
GRN,IND,3729
ON,ALP,2469
ON,NP,5482
ON,IND,4221
CEC,LP,92
CEC,UAPP,242
CEC,ALP,183
CEC,GRN,292
CEC,LDP,116
CEC,ON,173
LDP,LP,928
LDP,UAPP,460
LDP,ALP,264
LDP,GRN,252
LDP,ON,419
UAPP,LP,969
UAPP,ALP,838
UAPP,GRN,596
UAPP,ON,3235
ON,LP,4841
ON,ALP,1925
ON,GRN,2279
LDP,SOPA,77
LDP,UAPP,189
LDP,LP,520
LDP,GRN,87
LDP,ON,387
LDP,ALP,283
SOPA,UAPP,667
SOPA,LP,253
SOPA,GRN,773
SOPA,ON,211
SOPA,ALP,375
UAPP,LP,1185
UAPP,GRN,594
UAPP,ON,2351
UAPP,ALP,544
GRN,LP,1293
GRN,ON,1256
GRN,ALP,7605
AUD,SPP,102
AUD,LDP,60
AUD,ALP,168
AUD,UAPP,50
AUD,LP,75
AUD,GRN,113
AUD,IMO,18
AUD,IND,46
AUD,ON,19
IMO,SPP,205
IMO,LDP,93
IMO,ALP,64
IMO,UAPP,120
IMO,LP,41
IMO,GRN,61
IMO,IND,198
IMO,ON,145
IND,SPP,410
IND,LDP,206
IND,ALP,370
IND,UAPP,228
IND,LP,239
IND,GRN,314
IND,ON,521
UAPP,SPP,321
UAPP,LDP,620
UAPP,ALP,284
UAPP,LP,356
UAPP,GRN,124
UAPP,ON,1259
SPP,LDP,853
SPP,ALP,785
SPP,LP,270
SPP,GRN,836
SPP,ON,554
LDP,ALP,1155
LDP,LP,1697
LDP,GRN,237
LDP,ON,1368
ON,ALP,2260
ON,LP,4119
ON,GRN,1838
LDP,GRN,73
LDP,LP,384
LDP,IND,125
LDP,ASP,231
LDP,ON,453
LDP,UAPP,249
LDP,ALP,80
IND,GRN,699
IND,LP,678
IND,ASP,754
IND,ON,375
IND,UAPP,238
IND,ALP,570
UAPP,GRN,238
UAPP,LP,530
UAPP,ASP,689
UAPP,ON,1914
UAPP,ALP,386
ASP,GRN,799
ASP,LP,1971
ASP,ON,3003
ASP,ALP,1240
GRN,LP,2914
GRN,ON,1247
GRN,ALP,6811
LDP,ALP,412
LDP,UAPP,271
LDP,IND,357
LDP,LP,839
LDP,ON,143
LDP,GRN,72
ON,ALP,324
ON,UAPP,1497
ON,IND,642
ON,LP,374
ON,GRN,353
GRN,ALP,2422
GRN,UAPP,428
GRN,IND,1144
GRN,LP,622
UAPP,ALP,1853
UAPP,IND,4377
UAPP,LP,1478
LDP,LP,255
LDP,IND,91
LDP,GRN,47
LDP,UAPP,132
LDP,ON,242
LDP,ALP,123
UAPP,LP,440
UAPP,IND,745
UAPP,GRN,213
UAPP,ON,1553
UAPP,ALP,289
IND,LP,1029
IND,GRN,1212
IND,ON,2333
IND,ALP,983
ON,LP,3825
ON,GRN,2430
ON,ALP,2326
AJP,UAPP,21
AJP,ALP,177
AJP,LP,79
AJP,SOPA,110
AJP,IND,110
AJP,ON,64
AJP,GRN,587
SOPA,UAPP,44
SOPA,ALP,262
SOPA,LP,90
SOPA,IND,312
SOPA,ON,39
SOPA,GRN,585
ON,UAPP,831
ON,ALP,117
ON,LP,260
ON,IND,244
ON,GRN,100
IND,UAPP,373
IND,ALP,650
IND,LP,444
IND,GRN,1172
UAPP,ALP,744
UAPP,LP,1782
UAPP,GRN,844
IND,UAPP,75
IND,ALP,474
IND,LDP,72
IND,IND,442
IND,ON,47
IND,LP,397
IND,GRN,108
ON,UAPP,973
ON,ALP,389
ON,LDP,258
ON,IND,408
ON,LP,512
ON,GRN,217
LDP,UAPP,496
LDP,ALP,728
LDP,IND,579
LDP,LP,1410
LDP,GRN,131
IND,UAPP,2532
IND,ALP,892
IND,LP,746
IND,GRN,531
GRN,UAPP,1019
GRN,ALP,5864
GRN,LP,1190
ON,LP,517
ON,GRN,108
ON,IND,256
ON,UAPP,1162
ON,IND,343
ON,ALP,214
IND,LP,477
IND,GRN,337
IND,IND,1761
IND,UAPP,225
IND,ALP,681
GRN,LP,640
GRN,IND,2622
GRN,UAPP,290
GRN,ALP,3011
UAPP,LP,4172
UAPP,IND,3162
UAPP,ALP,1529
LDP,ALP,44
LDP,UAPP,114
LDP,ON,144
LDP,IND,15
LDP,ASP,76
LDP,GRN,21
LDP,LP,239
LDP,IND,117
IND,ALP,144
