ID2,AJP,ALP,ASP,AUC,AUD,AUP,AUVA,CEC,CYA,DHJP,DPDA,GAP,GRN,GVIC,Grn,HMP,IAP,IMO,IND,JLN,KAP,LDP,Lib,NP,One,REAS,SAL,SOPA,SPP,TLOC,TNL,UAP,VNS,WAP
AJP,,,,0.41%,,17.01%,8.13%,1.99%,2.07%,13.32%,4.59%,0.79%,,,0.00%,,2.32%,3.87%,0.33%,,,0.56%,,,0.03%,,,3.27%,,,1.04%,0.03%,,1.00%
ALP,17.01%,,17.48%,10.67%,25.81%,12.85%,11.27%,16.59%,11.30%,11.78%,23.03%,10.74%,72.36%,74.97%,73.67%,21.12%,30.22%,8.80%,36.57%,52.27%,26.51%,13.11%,50.87%,26.29%,23.51%,23.21%,18.44%,16.61%,18.94%,27.80%,16.60%,19.19%,15.73%,22.59%
ASP,,,,,,,,,0.38%,,,,0.05%,,0.03%,,,,0.29%,,,0.10%,,,,,,,,,,0.12%,,
AUC,0.17%,,,,,,,,1.61%,,,0.53%,,,0.00%,,,0.37%,,,,0.18%,,,,,,,,,,0.07%,,2.08%
AUP,,,,,,,,,0.07%,,,,,,0.00%,,,,,,,,,,,,,,,,0.71%,,,
AUVA,,,,,,,,,0.39%,,,,,,0.00%,,,,,,,0.07%,,,,,,,,,,,,
CEC,,,,,,,,,0.07%,,,,,,0.00%,,,,0.00%,,,,,,,,,,,,,,,
CLP,,,,,,,,2.33%,,,,,0.37%,,0.19%,,,,0.04%,,,1.65%,,,0.33%,,,,,,,0.10%,,
CYA,,,,,,3.04%,,0.93%,,,,2.35%,,,0.00%,,,,,,,0.09%,,,,,0.37%,,,,1.64%,,0.17%,
DHJP,,,,,,,0.12%,0.45%,0.29%,,,,,,0.00%,,,,0.01%,,,,,,,,,,1.45%,,,,,
DPDA,,,,,,3.21%,,,0.11%,,,,,,0.00%,,,,,,,,,,,,,,,,0.23%,,,
GAP,,,,2.63%,,,,0.57%,5.32%,,,,,,0.00%,,,0.93%,0.01%,,,0.17%,,,,,0.56%,,,,1.32%,0.19%,0.55%,5.96%
GRN,24.81%,18.87%,6.40%,7.27%,17.36%,35.59%,13.73%,13.84%,6.30%,,24.44%,9.34%,,,0.00%,34.21%,7.46%,12.49%,8.51%,10.26%,6.02%,5.36%,14.33%,0.72%,9.95%,,19.20%,38.50%,23.88%,28.77%,14.23%,6.87%,,18.52%
GVIC,12.01%,,,,,,0.48%,3.57%,3.40%,10.32%,,0.73%,,,0.00%,,,,3.54%,,,2.93%,9.81%,,1.38%,53.82%,31.08%,5.73%,2.11%,,9.41%,4.34%,55.23%,
Grn,0.1841,0.09435,0.032,0.03635,0.0868,0.17795,0.07105,0.08705,0.0485,0.0516,0.1222,0.05035,0,0,0.00%,0.17105,0.0373,0.06245,0.06025,0.0513,0.0301,0.04145,0.1207,0.0036,0.05665,0.2691,0.2514,0.22115,0.12995,0.14385,0.1182,0.05605,0.27615,0.0926
HMP,0.66%,,,,,,,,,,,,,,0.00%,,,,,,,0.04%,,,,,,,,,,0.12%,,
IAP,,,,,,,,0.67%,0.14%,,,,0.10%,,0.05%,,,0.56%,0.07%,,,0.01%,,,,,,,,,0.26%,0.04%,,
IMO,1.26%,,,,2.76%,,3.35%,0.41%,0.99%,,,1.52%,,,0.00%,,1.35%,,0.12%,,,0.16%,,,,,,0.84%,,,,,,
IND,6.24%,48.29%,2.87%,0.91%,7.07%,,4.88%,11.30%,6.11%,13.54%,,4.17%,4.53%,5.70%,5.12%,,5.05%,13.78%,6.34%,,,3.45%,15.13%,3.43%,5.94%,,,7.18%,6.97%,3.19%,19.98%,6.54%,1.68%,2.23%
JLN,0.75%,,,,,,,,,,,,0.30%,,0.15%,,,,1.15%,,,0.18%,,,0.54%,,,,,26.57%,,0.14%,,
KAP,0.26%,3.76%,,,,,,,0.07%,,,1.44%,0.24%,,0.12%,,,2.38%,0.41%,,,,,,0.40%,,4.88%,0.53%,,,,0.70%,,
LDP,1.77%,,5.03%,,9.22%,6.94%,3.13%,5.04%,8.14%,6.15%,7.59%,0.71%,0.11%,0.02%,0.07%,,17.50%,3.66%,1.59%,,,,,,1.25%,7.70%,0.85%,0.99%,19.18%,0.31%,3.92%,1.35%,0.92%,
LNP,3.12%,7.31%,4.49%,,,3.73%,14.42%,,1.48%,,,1.46%,5.32%,,2.66%,12.84%,,3.08%,3.87%,,43.73%,3.93%,,,18.26%,,8.06%,0.37%,,,4.74%,3.54%,,
Lib,8.08%,11.39%,11.52%,43.82%,11.52%,2.95%,0.46%,7.13%,8.32%,14.93%,20.15%,6.83%,11.69%,15.84%,13.77%,,1.14%,3.63%,16.17%,37.47%,,22.42%,,63.33%,20.29%,9.18%,7.11%,8.14%,8.61%,11.86%,7.10%,29.09%,7.45%,19.69%
NP,0.32%,4.08%,11.18%,,,,,3.40%,0.34%,0.85%,,0.98%,1.20%,0.57%,0.89%,,16.45%,0.86%,7.77%,,,9.59%,9.86%,,7.67%,,,0.28%,,,0.42%,1.38%,,0.77%
One,10.44%,,35.97%,22.06%,2.92%,6.34%,25.24%,12.05%,22.78%,18.41%,4.89%,41.94%,2.80%,0.33%,1.57%,31.82%,16.49%,24.43%,7.95%,,23.74%,16.15%,,5.47%,,,4.34%,4.60%,11.38%,0.71%,10.40%,25.70%,2.90%,20.37%
REAS,0.19%,,,,,,,,0.08%,,,,,,0.00%,,,,,,,,,,,,,,,,,,,
SAL,0.65%,,,,,,,2.15%,0.51%,,,,,,0.00%,,,1.33%,,,,,,,0.01%,,,0.82%,,,,0.02%,5.38%,
SOPA,0.11%,,,,,,,0.67%,0.33%,,8.66%,,,,0.00%,,,,0.01%,,,0.05%,,,0.01%,,,,,,,,,
SPP,,,,,15.67%,,,,,,,,,,0.00%,,,0.89%,0.09%,,,,,,0.01%,,,,,,1.10%,0.04%,,
TLOC,0.21%,,,,,,,,,,,,,,0.00%,,,,,,,0.08%,,,0.08%,,,,,,,0.02%,,
TNL,,,,,,,,0.36%,,,,,,,0.00%,,,0.12%,,,,,,,,,,,,,,,0.21%,
UAP,9.39%,,5.05%,7.46%,7.68%,8.33%,14.78%,14.93%,14.87%,10.69%,6.65%,12.32%,0.43%,2.57%,1.50%,,2.02%,18.35%,5.05%,,,19.10%,,0.76%,9.95%,6.10%,4.82%,10.10%,7.48%,0.80%,6.87%,,9.79%,6.79%
VNS,1.36%,,,,,,,1.62%,1.27%,,,0.17%,,,0.00%,,,,0.02%,,,0.06%,,,0.07%,,,2.03%,,,,0.10%,,
WAP,0.72%,,,4.77%,,,,,3.10%,,,4.00%,,,0.00%,,,0.48%,0.11%,,,0.48%,,,,,0.30%,,,,,0.24%,,
XEN,0.47%,6.30%,,,,,,,0.14%,,,,0.52%,,0.26%,,,,,,,0.08%,,,0.32%,,,,,,,0.06%,,
