Eliminated Party,Pref to,Number
UAPP,UAPP,1395
UAPP,ALP,285
UAPP,IND,425
UAPP,GRN,109
UAPP,LP,466
IND,ALP,983
IND,IND,1613
IND,GRN,262
IND,LP,1368
GRN,ALP,3392
GRN,GRN,3981
GRN,LP,2688
UAPP,UAPP,859
UAPP,IND,205
UAPP,LP,303
UAPP,GRN,66
UAPP,ALP,98
IND,IND,1299
IND,LP,845
IND,GRN,169
IND,ALP,233
LP,LP,2140
LP,GRN,2393
LP,ALP,1743
UAPP,ALP,255
UAPP,LP,688
UAPP,UAPP,238
UAPP,ON,273
UAPP,GRN,252
ON,ALP,351
ON,LP,481
ON,ON,1434
ON,GRN,318
GRN,ALP,823
GRN,LP,2228
GRN,GRN,1075
LDP,LP,132
LDP,LDP,147
LDP,UAPP,118
LDP,GRN,231
LDP,ON,114
LDP,ALP,219
ON,LP,444
ON,UAPP,558
ON,GRN,92
ON,ON,201
ON,ALP,116
UAPP,LP,522
UAPP,UAPP,1806
UAPP,GRN,249
UAPP,ALP,366
GRN,LP,3958
GRN,GRN,1683
GRN,ALP,1889
UAPP,ALP,412
UAPP,UAPP,2850
UAPP,GRN,314
UAPP,LP,797
GRN,ALP,2154
GRN,GRN,1933
GRN,LP,4374
LDP,SOPA,202
LDP,GRN,260
LDP,LDP,73
LDP,LP,233
LDP,UAPP,82
LDP,ON,47
LDP,ALP,311
ON,SOPA,82
ON,GRN,188
ON,LP,671
ON,UAPP,181
ON,ON,320
ON,ALP,170
SOPA,SOPA,166
SOPA,GRN,111
SOPA,LP,361
SOPA,UAPP,1225
SOPA,ALP,168
UAPP,GRN,1614
UAPP,LP,278
UAPP,UAPP,283
UAPP,ALP,400
GRN,GRN,1094
GRN,LP,2767
GRN,ALP,825
IND,LDP,60
IND,GRN,29
IND,ON,90
IND,LP,96
IND,SOPA,20
IND,ALP,30
IND,IND,33
IND,UAPP,108
IND,IND,43
SOPA,LDP,18
SOPA,GRN,54
SOPA,ON,19
SOPA,LP,71
SOPA,SOPA,24
SOPA,ALP,73
SOPA,UAPP,51
SOPA,IND,627
LDP,LDP,63
LDP,GRN,626
LDP,ON,50
LDP,LP,158
LDP,ALP,235
LDP,UAPP,47
LDP,IND,283
UAPP,GRN,536
UAPP,ON,311
UAPP,LP,1091
UAPP,ALP,148
UAPP,UAPP,236
UAPP,IND,126
IND,GRN,149
IND,ON,1586
IND,LP,449
IND,ALP,171
IND,IND,402
ON,GRN,1044
ON,ON,480
ON,LP,788
ON,ALP,971
GRN,GRN,998
GRN,LP,3179
GRN,ALP,1331
GRN,LP,1700
GRN,GRN,415
GRN,ALP,420
GRN,UAPP,1886
UAPP,LP,986
UAPP,ALP,3840
UAPP,UAPP,776
IND,IND,106
IND,ALP,52
IND,GRN,45
IND,IND,73
IND,UAPP,896
IND,LP,396
UAPP,IND,1840
UAPP,ALP,352
UAPP,GRN,475
UAPP,UAPP,120
UAPP,LP,304
GRN,IND,1049
GRN,ALP,346
GRN,GRN,287
GRN,LP,1830
ALP,IND,4592
ALP,ALP,4199
ALP,LP,976
GRN,IND,622
GRN,ON,2055
GRN,GRN,153
GRN,ALP,311
GRN,NP,926
ON,IND,2283
ON,ON,332
ON,ALP,1886
ON,NP,543
ALP,IND,4393
ALP,ALP,1446
ALP,NP,5605
LDP,ON,281
LDP,UAPP,307
LDP,LDP,187
LDP,GRN,310
LDP,LP,294
LDP,ALP,460
UAPP,ON,478
UAPP,UAPP,409
UAPP,GRN,400
UAPP,LP,1501
UAPP,ALP,662
GRN,ON,3414
GRN,GRN,718
GRN,LP,760
GRN,ALP,973
ON,ON,972
ON,LP,1551
ON,ALP,4527
ON,ON,2767
ON,GRN,478
ON,LP,699
ON,ALP,437
GRN,GRN,2217
GRN,LP,3136
GRN,ALP,2399
LDP,ON,1169
LDP,ALP,156
LDP,NP,283
LDP,IND,353
LDP,LDP,462
LDP,GRN,251
GRN,ON,1461
GRN,ALP,400
