2022,,,,,
,Date,Two-party-preferred,,,
,,ALP,Lib/Nat,Days Since Election,Net on 2PP (Incumbent - Oppositon) - 2022
24 February – 5 March 2024,05-Mar-24,0.52000000000000002,0.47999999999999998,654,0.040000000000000036
26 February – 3 March 2024,03-Mar-24,0.53500000000000003,0.46500000000000002,652,0.070000000000000007
21–25 February 2024,25-Feb-24,0.46999999999999997,0.47999999999999998,645,-0.010000000000000009
19–25 February 2024,25-Feb-24,0.5,0.5,645,0
19–23 February 2024,23-Feb-24,0.52000000000000002,0.47999999999999998,643,0.040000000000000036
16–18 February 2024,18-Feb-24,0.51000000000000001,0.48999999999999999,638,0.020000000000000018
12–18 February 2024,18-Feb-24,0.52500000000000002,0.47499999999999998,638,0.050000000000000044
7–11 February 2024,11-Feb-24,0.5,0.46000000000000002,631,0.03999999999999998
5–11 February 2024,11-Feb-24,0.52000000000000002,0.47999999999999998,631,0.040000000000000036
2–7 February 2024,07-Feb-24,0.52000000000000002,0.47999999999999998,627,0.040000000000000036
30 January – 7 February 2024,07-Feb-24,0.51200000000000001,0.48799999999999999,627,0.024000000000000021
29 January – 4 February 2024,04-Feb-24,0.53000000000000003,0.46999999999999997,624,0.060000000000000053
31 January–3 February 2024,03-Feb-24,0.52000000000000002,0.47999999999999998,623,0.040000000000000036
24–28 January 2024,28-Jan-24,0.47999999999999998,0.46000000000000002,617,0.019999999999999962
22–27 January 2024,27-Jan-24,0.505,0.495,616,0.010000000000000009
15–21 January 2024,21-Jan-24,0.52500000000000002,0.47499999999999998,610,0.050000000000000044
12–17 January 2024,17-Jan-24,0.52000000000000002,0.47999999999999998,606,0.040000000000000036
8–14 January 2024,14-Jan-24,0.51500000000000001,0.48499999999999999,603,0.030000000000000027
10–11 January 2024,11-Jan-24,0.5,0.5,600,0
1–7 January 2024,07-Jan-24,0.48999999999999999,0.51000000000000001,596,-0.020000000000000018
15–17 December 2023,17-Dec-23,0.5,0.5,575,0
11–17 December 2023,17-Dec-23,0.5,0.5,575,0
11–15 December 2023,15-Dec-23,0.52000000000000002,0.47999999999999998,573,0.040000000000000036
6–11 December 2023,11-Dec-23,0.48999999999999999,0.46000000000000002,569,0.029999999999999971
6–11 December 2023,11-Dec-23,0.52800000000000002,0.47199999999999998,569,0.05600000000000005
1–5 December 2023,05-Dec-23,0.51000000000000001,0.48999999999999999,563,0.020000000000000018
29 November–3 December 2023,03-Dec-23,0.55000000000000004,0.45000000000000001,561,0.10000000000000003
27 November–3 December 2023,03-Dec-23,0.51000000000000001,0.48999999999999999,561,0.020000000000000018
22–26 November 2023,26-Nov-23,0.47999999999999998,0.46999999999999997,554,0.010000000000000009
20–26 November 2023,26-Nov-23,0.52500000000000002,0.47499999999999998,554,0.050000000000000044
20–24 November 2023,24-Nov-23,0.5,0.5,552,0
13–19 November 2023,19-Nov-23,0.495,0.505,547,-0.010000000000000009
10–14 November 2023,14-Nov-23,0.51000000000000001,0.48999999999999999,542,0.020000000000000018
8–12 November 2023,12-Nov-23,0.48999999999999999,0.46999999999999997,540,0.020000000000000018
6–12 November 2023,12-Nov-23,0.5,0.5,540,0
1–5 November 2023,05-Nov-23,0.56999999999999995,0.42999999999999999,533,0.13999999999999996
30 October–3 November 2023,03-Nov-23,0.52000000000000002,0.47999999999999998,531,0.040000000000000036
25–29 October 2023,29-Oct-23,0.47999999999999998,0.46000000000000002,526,0.019999999999999962
23–29 October 2023,29-Oct-23,0.53000000000000003,0.46999999999999997,526,0.060000000000000053
16–22 October 2023,22-Oct-23,0.495,0.505,519,-0.010000000000000009
4–12 October 2023,12-Oct-23,0.54000000000000004,0.46000000000000002,509,0.080000000000000016
6–10 October 2023,10-Oct-23,0.53000000000000003,0.46999999999999997,507,0.060000000000000053
3–6 October 2023,06-Oct-23,0.53000000000000003,0.46999999999999997,503,0.060000000000000053
22 September–4 October 2023,04-Oct-23,0.56999999999999995,0.42999999999999999,501,0.13999999999999996
27 September–1 October 2023,01-Oct-23,0.5,0.45000000000000001,498,0.049999999999999989
25–29 September 2023,29-Sep-23,0.53000000000000003,0.46999999999999997,496,0.060000000000000053
22–24 September 2023,24-Sep-23,0.51000000000000001,0.48999999999999999,491,0.020000000000000018
18–22 September 2023,22-Sep-23,0.54000000000000004,0.46000000000000002,489,0.080000000000000016
13–17 September 2023,17-Sep-23,0.48999999999999999,0.45000000000000001,484,0.03999999999999998
4–10 September 2023,10-Sep-23,0.52500000000000002,0.47499999999999998,477,0.050000000000000044
6–9 September 2023,09-Sep-23,0.55500000000000005,0.44500000000000001,476,0.11000000000000004
30 August–3 September 2023,03-Sep-23,0.51000000000000001,0.42999999999999999,470,0.080000000000000016
28 August–3 September 2023,03-Sep-23,0.53000000000000003,0.46999999999999997,470,0.060000000000000053
28 August–1 September 2023,01-Sep-23,0.53000000000000003,0.46999999999999997,468,0.060000000000000053
16–20 August 2023,20-Aug-23,0.51000000000000001,0.42999999999999999,456,0.080000000000000016
9–13 August 2023,13-Aug-23,0.56000000000000005,0.44,449,0.12000000000000005
2–6 August 2023,06-Aug-23,0.52000000000000002,0.41999999999999998,442,0.10000000000000003
19–23 July 2023,23-Jul-23,0.5,0.45000000000000001,428,0.049999999999999989
12–15 July 2023,15-Jul-23,0.58999999999999997,0.40999999999999998,420,0.17999999999999999
12–15 July 2023,15-Jul-23,0.55000000000000004,0.45000000000000001,420,0.10000000000000003
5–9 July 2023,09-Jul-23,0.51000000000000001,0.44,414,0.070000000000000007
21–25 June 2023,25-Jun-23,0.52000000000000002,0.41999999999999998,400,0.10000000000000003
16–24 June 2023,24-Jun-23,0.54000000000000004,0.46000000000000002,399,0.080000000000000016
7–11 June 2023,11-Jun-23,0.52000000000000002,0.41999999999999998,386,0.10000000000000003
6–11 June 2023,11-Jun-23,0.59999999999999998,0.40000000000000002,386,0.19999999999999996
31 May – 3 June 2023,03-Jun-23,0.55000000000000004,0.45000000000000001,378,0.10000000000000003
24–28 May 2023,28-May-23,0.52000000000000002,0.42999999999999999,372,0.090000000000000024
15–17 May 2023,17-May-23,0.52000000000000002,0.47999999999999998,361,0.040000000000000036
10–14 May 2023,14-May-23,0.53000000000000003,0.41999999999999998,358,0.11000000000000004
11–13 May 2023,13-May-23,0.55000000000000004,0.45000000000000001,357,0.10000000000000003
10–13 May 2023,13-May-23,0.60999999999999999,0.39000000000000001,357,0.21999999999999997
26–30 April 2023,30-Apr-23,0.53000000000000003,0.40999999999999998,344,0.12000000000000005
19–22 April 2023,22-Apr-23,0.56000000000000005,0.44,336,0.12000000000000005
12–16 April 2023,16-Apr-23,0.52000000000000002,0.42999999999999999,330,0.090000000000000024
12–16 April 2023,16-Apr-23,0.61499999999999999,0.38500000000000001,330,0.22999999999999998
29 March – 2 April 2023,02-Apr-23,0.53000000000000003,0.41999999999999998,316,0.11000000000000004
29 March – 1 April 2023,01-Apr-23,0.55000000000000004,0.45000000000000001,315,0.10000000000000003
15–20 March 2023,20-Mar-23,0.52000000000000002,0.42999999999999999,303,0.090000000000000024
12–16 March 2023,16-Mar-23,0.59999999999999998,0.40000000000000002,299,0.19999999999999996
1–5 March 2023,05-Mar-23,0.48999999999999999,0.44,288,0.049999999999999989
27 February – 5 March 2023,05-Mar-23,0.54500000000000004,0.45500000000000002,288,0.090000000000000024
1–4 March 2023,04-Mar-23,0.54000000000000004,0.46000000000000002,287,0.080000000000000016
20–26 February 2023,26-Feb-23,0.56499999999999995,0.435,281,0.12999999999999995
15–19 February 2023,19-Feb-23,0.51000000000000001,0.41999999999999998,274,0.090000000000000024
15–19 February 2023,19-Feb-23,0.57899999999999996,0.42099999999999999,274,0.15799999999999997
13–19 February 2023,19-Feb-23,0.58499999999999996,0.41499999999999998,274,0.16999999999999998
1–6 February 2023,06-Feb-23,0.55000000000000004,0.40000000000000002,261,0.15000000000000002
1–4 February 2023,04-Feb-23,0.55000000000000004,0.45000000000000001,259,0.10000000000000003
23–29 January 2023,29-Jan-23,0.56999999999999995,0.42999999999999999,253,0.13999999999999996
18–22 January 2023,22-Jan-23,0.53000000000000003,0.41999999999999998,246,0.11000000000000004
17–22 January 2023,22-Jan-23,0.59999999999999998,0.40000000000000002,246,0.19999999999999996
16–18 December 2022,18-Dec-22,0.54000000000000004,0.46000000000000002,211,0.080000000000000016
7–11 December 2022,11-Dec-22,0.51000000000000001,0.44,204,0.070000000000000007
30 November–4 December 2022,04-Dec-22,0.59999999999999998,0.40000000000000002,197,0.19999999999999996
30 November–3 December 2022,03-Dec-22,0.55000000000000004,0.45000000000000001,196,0.10000000000000003
23–27 November 2022,27-Nov-22,0.51000000000000001,0.42999999999999999,190,0.080000000000000016
27–30 October 2022,30-Oct-22,0.55000000000000004,0.45000000000000001,162,0.10000000000000003
26–30 October 2022,30-Oct-22,0.57399999999999995,0.42599999999999999,162,0.14799999999999996
5–9 October 2022,09-Oct-22,0.58299999999999996,0.41699999999999998,141,0.16599999999999998
14–18 September 2022,18-Sep-22,0.56999999999999995,0.42999999999999999,120,0.13999999999999996
31 August–3 September 2022,03-Sep-22,0.56999999999999995,0.42999999999999999,105,0.13999999999999996
17–21 August 2022,21-Aug-22,0.61299999999999999,0.38700000000000001,92,0.22599999999999998
27–30 July 2022,30-Jul-22,0.56000000000000005,0.44,70,0.12000000000000005
14–17 June 2022,17-Jun-22,0.52200000000000002,0.47799999999999998,27,0.044000000000000039
13–19 June 2022,19-Jun-22,0.53000000000000003,0.46999999999999997,29,0.060000000000000053
21-May-22,21-May-22,0.52100000000000002,0.47899999999999998,0,0.042000000000000037
