Name,Formed,State / Territory,Size (km2),Namesake,Known for,Current Member,Member's Party,Classification
Adelaide,1903,South Australia,76,City of Adelaide,Geographic location,Steve Georganas,Labor,Inner-metropolitan
Aston,1984,Victoria,113,Tilly Aston,Teacher,Mary Doyle,Labor,Outer-metropolitan
Ballarat,1901,Victoria,4322,City of Ballarat,Geographic location,Catherine King,Labor,Provincial
Banks,1949,New South Wales,53,Joseph Banks,Botanist,David Coleman,Liberal,Inner-metropolitan
Barker,1903,South Australia,63886,Collet Barker,Explorer,Tony Pasin,Liberal,Rural
Barton,1922,New South Wales,40,Edmund Barton,Prime Minister,Linda Burney,Labor,Inner-metropolitan
Bass,1903,Tasmania,7975,George Bass,Explorer,Bridget Archer,Liberal,Provincial
Bean,2019,"Australian Capital Territory
Norfolk Island",1913,Charles Bean,"War correspondent, historian",David Smith,Labor,Outer-metropolitan
Bendigo,1901,Victoria,5496,City of Bendigo,Geographic location,Lisa Chesters,Labor,Provincial
Bennelong,1949,New South Wales,60,Bennelong,Aboriginal elder,Jerome Laxale,Labor,Inner-metropolitan
Berowra,1969,New South Wales,786,Suburb of Berowra,Geographic location,Julian Leeser,Liberal,Outer-metropolitan
Blair,1998,Queensland,6472,Harold Blair,Aboriginal singer,Shayne Neumann,Labor,Provincial
Blaxland,1949,New South Wales,61,Gregory Blaxland,Explorer,Jason Clare,Labor,Inner-metropolitan
Bonner,2004,Queensland,374,Neville Bonner,Aboriginal politician,Ross Vasta,Liberal National,Outer-metropolitan
Boothby,1903,South Australia,130,William Boothby,Electoral commissioner,Louise Miller-Frost,Labor,Outer-metropolitan
Bowman,1949,Queensland,536,David Bowman,Politician,Henry Pike,Liberal National,Outer-metropolitan
Braddon,1955,Tasmania,21369,Edward Braddon,Premier of Tasmania,Gavin Pearce,Liberal,Rural
Bradfield,1949,New South Wales,101,John Bradfield,Designer of the Sydney Harbour Bridge,Paul Fletcher,Liberal,Inner-metropolitan
Brand,1984,Western Australia,377,David Brand,Premier of Western Australia,Madeleine King,Labor,Outer-metropolitan
Brisbane,1901,Queensland,57,City of Brisbane,Geographic location,Stephen Bates,Greens,Inner-metropolitan
Bruce,1955,Victoria,95,Stanley Bruce,Prime Minister,Julian Hill,Labor,Outer-metropolitan
Burt,2016,Western Australia,172,"Archibald, Septimus and Francis Burt",Family of lawyers,Matt Keogh,Labor,Outer-metropolitan
Calare,1906,New South Wales,32666,Aboriginal name for the Lachlan River,Geographic location,Andrew Gee,Independent,Rural
Calwell,1984,Victoria,265,Arthur Calwell,Leader of the opposition,Maria Vamvakinou,Labor,Outer-metropolitan
Canberra,1974,Australian Capital Territory,312,City of Canberra,Geographic location,Alicia Payne,Labor,Inner-metropolitan
Canning,1949,Western Australia,6304,Alfred Canning,Surveyor of the Rabbit-Proof Fence,Andrew Hastie,Liberal,Outer-metropolitan
Capricornia,1901,Queensland,90903,Tropic of Capricorn,Geographic location,Michelle Landry,Liberal National,Provincial
Casey,1969,Victoria,2466,Richard Casey,Governor-General,Aaron Violi,Liberal,Rural
Chifley,1969,New South Wales,126,Ben Chifley,Prime Minister,Ed Husic,Labor,Outer-metropolitan
Chisholm,1949,Victoria,65,Caroline Chisholm,Philanthropist,Carina Garland,Labor,Inner-metropolitan
Clark,2019,Tasmania,292,Andrew Inglis Clark,Co-author of the Australian Constitution,Andrew Wilkie,Independent,Inner-metropolitan
Cook,1969,New South Wales,94,James Cook,Explorer,Simon Kennedy,Liberal,Inner-metropolitan
Cooper,2019,Victoria,60,William Cooper,Aboriginal activist,Ged Kearney,Labor,Inner-metropolitan
Corangamite,1901,Victoria,5441,Lake Corangamite,Geographic location,Libby Coker,Labor,Provincial
Corio,1901,Victoria,773,Corio Bay,Geographic location,Richard Marles,Labor,Provincial
Cowan,1984,Western Australia,180,Edith Cowan,"Politician, activist",Anne Aly,Labor,Inner-metropolitan
Cowper,1901,New South Wales,7296,Charles Cowper,Premier of New South Wales,Pat Conaghan,Nationals,Provincial
Cunningham,1949,New South Wales,519,Allan Cunningham,"Botanist, explorer",Alison Byrnes,Labor,Provincial
Curtin,1949,Western Australia,98,John Curtin,Prime Minister,Kate Chaney,Independent,Inner-metropolitan
Dawson,1949,Queensland,14630,Anderson Dawson,Premier of Queensland,Andrew Willcox,Liberal National,Provincial
Deakin,1937,Victoria,79,Alfred Deakin,Prime Minister,Michael Sukkar,Liberal,Outer-metropolitan
Dickson,1992,Queensland,724,James Dickson,Premier of Queensland,Peter Dutton,Liberal National,Outer-metropolitan
Dobell,1984,New South Wales,787,William Dobell,Painter,Emma McBride,Labor,Provincial
Dunkley,1984,Victoria,152,Louisa Margaret Dunkley,"Labour unionist, women's rights campaigner",Jodie Belyea,Labor,Outer-metropolitan
Durack,2010,Western Australia,1383954,"Patrick, W J, Michael, Mary, Elizabeth, Kimberley and Peter Durack",Pioneers and developers of the Kimberley region,Melissa Price,Liberal,Rural
Eden-Monaro,1901,New South Wales,41617,Town of Eden and region of Monaro,Geographic location,Kristy McBain,Labor,Rural
Fadden,1977,Queensland,387,Arthur Fadden,Prime Minister,Cameron Caldwell,Liberal National,Provincial
Fairfax,1984,Queensland,1004,Ruth Fairfax,Founder of the Country Women's Association,Ted O'Brien,Liberal National,Provincial
Farrer,1949,New South Wales,126590,William Farrer,Scientist,Sussan Ley,Liberal,Rural
Fenner,2016,"Australian Capital Territory
Jervis Bay Territory",238,Frank Fenner,Scientist,Andrew Leigh,Labor,Inner-metropolitan
Fisher,1949,Queensland,1198,Andrew Fisher,Prime Minister,Andrew Wallace,Liberal National,Provincial
Flinders,1901,Victoria,871,Matthew Flinders,Explorer,Zoe McKenzie,Liberal,Outer-metropolitan
Flynn,2006,Queensland,132824,John Flynn,Founder of the Royal Flying Doctor Service,Colin Boyce,Liberal National,Rural
Forde,1984,Queensland,418,Frank Forde,Prime Minister,Bert van Manen,Liberal National,Outer-metropolitan
Forrest,1922,Western Australia,11072,John Forrest,"Explorer, Premier of Western Australia",Nola Marino,Liberal,Rural
Fowler,1984,New South Wales,69,Lilian Fowler,Mayor of Newtown,Dai Le,Independent,Outer-metropolitan
Franklin,1903,Tasmania,10009,John Franklin,Explorer,Julie Collins,Labor,Outer-metropolitan
